2023-03-18 22:30:26: Expanded 'file:///%GSDISK%/笔记/obsidianPrivateNote/笔记' to 'file:///D:/笔记/obsidianPrivateNote/笔记'
2023-03-18 22:30:26: Expanded 'file:///%GSDISK%/icloud/iCloudDrive/iCloud~md~obsidian/笔记' to 'file:///D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记'
2023-03-18 22:30:26: -- 分析开始 Periodic Timer
2023-03-18 22:30:26: Do Not Propagate Deletions: 1-way deletions reverted: 17
2023-03-18 22:30:26: 变更：18， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 2121
2023-03-18 22:30:26: Left to Right: Copy File: 18 
2023-03-18 22:30:26: == 同步开始由 Periodic Timer
2023-03-18 22:30:26: 新建复制 'D:/笔记/obsidianPrivateNote/笔记/前端/工程化/构建/webpack.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/工程化/构建/webpack.md' (21,028)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/工程化/构建/AMD.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/工程化/构建/AMD.md' (201)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/工程化/node/node.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/工程化/node/node.md' (444)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/工程化/规范/ESLint/CommonJS.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/工程化/规范/ESLint/CommonJS.md' (881)
2023-03-18 22:30:26: 新建复制 'D:/笔记/obsidianPrivateNote/笔记/前端/性能/性能.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/性能/性能.md' (259)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/工程化/质量/质量.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/工程化/质量/质量.md' (845)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/编程语言/CSS/CSS.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/编程语言/CSS/CSS.md' (2,897)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/编程语言/HTML/HTML.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/编程语言/HTML/HTML.md' (310)
2023-03-18 22:30:26: 新建复制 'D:/笔记/obsidianPrivateNote/笔记/前端/编程语言/JS/BOM.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/编程语言/JS/BOM.md' (136)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/前端/设计模式/设计模式.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/前端/设计模式/设计模式.md' (3,687)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/学习方法/概念/应用.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/学习方法/概念/应用.md' (459)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/学习方法/概念/理解.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/学习方法/概念/理解.md' (5,555)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/思考/基础思维.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/思考/基础思维.md' (564)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/思考/批判性思维.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/思考/批判性思维.md' (88)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/思考/记忆/记忆.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/思考/记忆/记忆.md' (4,855)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/通用概念/DOCTORS模型.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/通用概念/DOCTORS模型.md' (820)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/思考/记忆/访问器属性.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/思考/记忆/访问器属性.md' (1,128)
2023-03-18 22:30:26: 覆盖复制 'D:/笔记/obsidianPrivateNote/笔记/工具/通用概念/本质.md' -> 'D:/icloud/iCloudDrive/iCloud~md~obsidian/笔记/工具/通用概念/本质.md' (3,637)
2023-03-18 22:30:26: == 同步完成. 历时: 00:00:00, 速度: 0.00/s, 完成: 18, 错误: 0
